season,season_id,division_id,competition_phase,game_id,gohoops_game_id,game_date,game_datetime_local,timezone,home_team_id,away_team_id,home_team,away_team,home_points,away_points,status,venue,periods
2025-26,2,8,preseason,1496,8187,2025-10-03,2025-10-03 14:30:00,Asia/Taipei,3,6,福爾摩沙夢想家,新北中信特攻,111,109,COMPLETED,屏東縣立體育館,4
2025-26,2,8,preseason,1497,8188,2025-10-03,2025-10-03 17:00:00,Asia/Taipei,2,4,高雄全家海神,新竹御嵿攻城獅,88,98,COMPLETED,屏東縣立體育館,4
2025-26,2,8,preseason,1498,8189,2025-10-04,2025-10-04 12:00:00,Asia/Taipei,7,8,新北國王,臺北台新戰神,100,105,COMPLETED,屏東縣立體育館,4
2025-26,2,8,preseason,1499,8190,2025-10-04,2025-10-04 14:30:00,Asia/Taipei,6,5,新北中信特攻,桃園台啤永豐雲豹,101,81,COMPLETED,屏東縣立體育館,4
2025-26,2,8,preseason,1500,8191,2025-10-04,2025-10-04 17:00:00,Asia/Taipei,4,3,新竹御嵿攻城獅,福爾摩沙夢想家,88,94,COMPLETED,屏東縣立體育館,4
2025-26,2,8,preseason,1501,8192,2025-10-05,2025-10-05 12:00:00,Asia/Taipei,8,2,臺北台新戰神,高雄全家海神,79,93,COMPLETED,屏東縣立體育館,4
2025-26,2,8,preseason,1502,8193,2025-10-05,2025-10-05 14:30:00,Asia/Taipei,5,7,桃園台啤永豐雲豹,新北國王,89,99,COMPLETED,屏東縣立體育館,4
2025-26,2,9,regular_season,1371,8062,2025-10-11,2025-10-11 17:00:00,Asia/Taipei,7,2,新北國王,高雄全家海神,110,100,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1372,8063,2025-10-12,2025-10-12 17:00:00,Asia/Taipei,7,3,新北國王,福爾摩沙夢想家,112,93,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1373,8064,2025-10-18,2025-10-18 14:30:00,Asia/Taipei,3,2,福爾摩沙夢想家,高雄全家海神,101,106,COMPLETED,臺中洲際迷你蛋,4
2025-26,2,9,regular_season,1374,8065,2025-10-18,2025-10-18 17:00:00,Asia/Taipei,7,6,新北國王,新北中信特攻,89,105,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1375,8066,2025-10-19,2025-10-19 14:30:00,Asia/Taipei,3,5,福爾摩沙夢想家,桃園台啤永豐雲豹,83,104,COMPLETED,臺中洲際迷你蛋,4
2025-26,2,9,regular_season,1376,8067,2025-10-19,2025-10-19 17:00:00,Asia/Taipei,7,8,新北國王,臺北台新戰神,120,123,COMPLETED,新莊體育館,5
2025-26,2,9,regular_season,1377,8068,2025-10-25,2025-10-25 14:30:00,Asia/Taipei,2,7,高雄全家海神,新北國王,91,79,COMPLETED,高雄巨蛋,4
2025-26,2,9,regular_season,1378,8069,2025-10-25,2025-10-25 17:00:00,Asia/Taipei,6,8,新北中信特攻,臺北台新戰神,91,78,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1379,8070,2025-10-26,2025-10-26 14:30:00,Asia/Taipei,2,4,高雄全家海神,新竹御嵿攻城獅,82,101,COMPLETED,高雄巨蛋,4
2025-26,2,9,regular_season,1380,8071,2025-10-26,2025-10-26 17:00:00,Asia/Taipei,6,5,新北中信特攻,桃園台啤永豐雲豹,80,104,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1381,8072,2025-10-29,2025-10-29 19:00:00,Asia/Taipei,2,3,高雄全家海神,福爾摩沙夢想家,86,99,COMPLETED,高雄巨蛋,4
2025-26,2,9,regular_season,1382,8073,2025-11-01,2025-11-01 14:30:00,Asia/Taipei,2,8,高雄全家海神,臺北台新戰神,105,110,COMPLETED,高雄巨蛋,4
2025-26,2,9,regular_season,1383,8074,2025-11-01,2025-11-01 17:00:00,Asia/Taipei,6,3,新北中信特攻,福爾摩沙夢想家,99,91,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1384,8075,2025-11-02,2025-11-02 14:30:00,Asia/Taipei,2,5,高雄全家海神,桃園台啤永豐雲豹,78,100,COMPLETED,高雄巨蛋,4
2025-26,2,9,regular_season,1385,8076,2025-11-02,2025-11-02 17:00:00,Asia/Taipei,6,4,新北中信特攻,新竹御嵿攻城獅,94,91,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1386,8077,2025-11-05,2025-11-05 19:00:00,Asia/Taipei,3,4,福爾摩沙夢想家,新竹御嵿攻城獅,82,81,COMPLETED,臺中洲際迷你蛋,4
2025-26,2,9,regular_season,1387,8078,2025-11-07,2025-11-07 19:00:00,Asia/Taipei,3,6,福爾摩沙夢想家,新北中信特攻,92,87,COMPLETED,臺中洲際迷你蛋,4
2025-26,2,9,regular_season,1388,8079,2025-11-08,2025-11-08 14:30:00,Asia/Taipei,7,4,新北國王,新竹御嵿攻城獅,89,108,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1389,8080,2025-11-08,2025-11-08 17:00:00,Asia/Taipei,5,8,桃園台啤永豐雲豹,臺北台新戰神,122,102,COMPLETED,桃園巨蛋,4
2025-26,2,9,regular_season,1390,8081,2025-11-09,2025-11-09 14:30:00,Asia/Taipei,7,2,新北國王,高雄全家海神,111,94,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1391,8082,2025-11-09,2025-11-09 17:00:00,Asia/Taipei,5,6,桃園台啤永豐雲豹,新北中信特攻,85,78,COMPLETED,桃園巨蛋,4
2025-26,2,9,regular_season,1392,8083,2025-11-12,2025-11-12 19:00:00,Asia/Taipei,7,3,新北國王,福爾摩沙夢想家,94,91,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1393,8084,2025-11-15,2025-11-15 14:30:00,Asia/Taipei,4,6,新竹御嵿攻城獅,新北中信特攻,102,85,COMPLETED,新竹縣體育館,4
