season,season_id,division_id,competition_phase,game_id,game_date,periods,team_id,team,opponent_id,opponent,home_away,source_url,player_id,player_name_original,gohoops_roster_id,points,FGM,FGA,two_PM,two_PA,three_PM,three_PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,plus_minus,FG_pct,two_P_pct,three_P_pct,FT_pct,source_FG_pct,source_two_P_pct,source_three_P_pct,source_FT_pct,minutes,time_on_court_seconds,starter,source_field_goals_missed,source_two_pointers_missed,source_three_pointers_missed,source_free_throws_missed,source_defensive_fouls,source_offensive_fouls,source_personal_fouls,source_points_in_paint,source_second_chance_points,source_fast_break_points,source_efficiency,source_efg,source_tsp,source_pir,source_field_goals_made_in_the_paint,source_field_goals_missed_in_the_paint,source_field_goals_attempted_in_the_paint,source_field_goals_made_on_fast_break,source_field_goals_missed_on_fast_break,source_field_goals_attempted_on_fast_break,source_field_goals_made_on_second_chance,source_field_goals_missed_on_second_chance,source_field_goals_attempted_on_second_chance,source_technical_fouls,source_unsportsmanlike_fouls,source_disqualifying_fouls,source_bad_pass_turnovers,source_ball_handling_turnovers,source_out_of_bounds_turnovers,source_travel_turnovers,source_three_seconds_turnovers,source_five_seconds_turnovers,source_back_court_turnovers,source_offensive_goal_tending_turnovers,source_double_dribble_turnovers,source_carry_turnovers,source_offensive_foul_turnovers,source_other_turnovers,source_points_off_turnovers,source_two_pointers_jump_shot_made,source_two_pointers_jump_shot_missed,source_two_pointers_jump_shot_attempted,source_three_pointers_jump_shot_made,source_three_pointers_jump_shot_missed,source_three_pointers_jump_shot_attempted,source_two_pointers_layup_made,source_two_pointers_layup_missed,source_two_pointers_layup_attempted,source_two_pointers_driving_layup_made,source_two_pointers_driving_layup_missed,source_two_pointers_driving_layup_attempted,source_two_pointers_dunk_made,source_two_pointers_dunk_missed,source_two_pointers_dunk_attempted,source_two_pointers_putback_dunk_made,source_two_pointers_putback_dunk_missed,source_two_pointers_putback_dunk_attempted,source_two_pointers_putback_tip_in_made,source_two_pointers_putback_tip_in_missed,source_two_pointers_putback_tip_in_attempted,source_two_pointers_alley_oop_made,source_two_pointers_alley_oop_missed,source_two_pointers_alley_oop_attempted,source_two_pointers_hook_shot_made,source_two_pointers_hook_shot_missed,source_two_pointers_hook_shot_attempted,source_three_pointers_hook_shot_made,source_three_pointers_hook_shot_missed,source_three_pointers_hook_shot_attempted,source_two_pointers_floating_jump_shot_made,source_two_pointers_floating_jump_shot_missed,source_two_pointers_floating_jump_shot_attempted,source_three_pointers_floating_jump_shot_made,source_three_pointers_floating_jump_shot_missed,source_three_pointers_floating_jump_shot_attempted,source_two_pointers_fadeaway_jump_shot_made,source_two_pointers_fadeaway_jump_shot_missed,source_two_pointers_fadeaway_jump_shot_attempted,source_three_pointers_fadeaway_jump_shot_made,source_three_pointers_fadeaway_jump_shot_missed,source_three_pointers_fadeaway_jump_shot_attempted,source_two_pointers_turnaround_jump_shot_made,source_two_pointers_turnaround_jump_shot_missed,source_two_pointers_turnaround_jump_shot_attempted,source_three_pointers_turnaround_jump_shot_made,source_three_pointers_turnaround_jump_shot_missed,source_three_pointers_turnaround_jump_shot_attempted,source_two_pointers_step_back_jump_shot_made,source_two_pointers_step_back_jump_shot_missed,source_two_pointers_step_back_jump_shot_attempted,source_three_pointers_step_back_jump_shot_made,source_three_pointers_step_back_jump_shot_missed,source_three_pointers_step_back_jump_shot_attempted,source_two_pointers_pull_up_jump_shot_made,source_two_pointers_pull_up_jump_shot_missed,source_two_pointers_pull_up_jump_shot_attempted,source_three_pointers_pull_up_jump_shot_made,source_three_pointers_pull_up_jump_shot_missed,source_three_pointers_pull_up_jump_shot_attempted,result,appearance,participation_status,eFG_pct,TS_pct,three_PA_rate,FT_rate,AST_TOV,player_name_english,player_name_normalized
2025-26,2,8,preseason,1496,2025-10-03,4,3,福爾摩沙夢想家,6,新北中信特攻,home,https://api.tpbl.basketball/api/games/1496/stats,101,周柏臣,166462,6.0,3.0,7.0,3.0,4.0,0.0,3.0,0.0,2.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,5.0,-22.0,0.42857142857142855,0.75,0.0,0.0,0.429,0.75,0.0,0.0,31.616666666666667,1897.0,True,4.0,1.0,3.0,2.0,5.0,0.0,4.0,4.0,0.0,0.0,6.0,42.9,38.1,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,True,played,0.42857142857142855,0.3807106598984772,0.42857142857142855,0.2857142857142857,,Chou Po-Chen,chou po-chen
2025-26,2,8,preseason,1496,2025-10-03,4,3,福爾摩沙夢想家,6,新北中信特攻,home,https://api.tpbl.basketball/api/games/1496/stats,103,忻沃克,166456,13.0,5.0,12.0,2.0,4.0,3.0,8.0,0.0,0.0,1.0,6.0,7.0,0.0,0.0,0.0,2.0,1.0,9.0,0.4166666666666667,0.5,0.375,,0.41700000000000004,0.5,0.375,0.0,24.5,1470.0,False,7.0,2.0,5.0,0.0,1.0,0.0,1.0,4.0,0.0,3.0,11.0,54.2,54.2,10.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,5.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,True,played,0.5416666666666666,0.5416666666666666,0.6666666666666666,0.0,0.0,Randall Walko,randall walko
2025-26,2,8,preseason,1496,2025-10-03,4,3,福爾摩沙夢想家,6,新北中信特攻,home,https://api.tpbl.basketball/api/games/1496/stats,106,高柏鎧,166464,25.0,10.0,15.0,7.0,12.0,3.0,3.0,2.0,3.0,7.0,6.0,13.0,0.0,1.0,3.0,1.0,3.0,-6.0,0.6666666666666666,0.5833333333333334,1.0,0.6666666666666666,0.667,0.583,1.0,0.667,31.983333333333334,1919.0,True,5.0,5.0,0.0,1.0,2.0,1.0,3.0,14.0,10.0,0.0,35.0,76.7,76.6,32.0,7.0,3.0,10.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,3.0,0.0,3.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,True,played,0.7666666666666667,0.7659313725490196,0.2,0.2,0.0,Brandon Gilbeck,brandon gilbeck
2025-26,2,8,preseason,1496,2025-10-03,4,3,福爾摩沙夢想家,6,新北中信特攻,home,https://api.tpbl.basketball/api/games/1496/stats,107,霍爾曼,166463,20.0,5.0,11.0,0.0,2.0,5.0,9.0,5.0,6.0,2.0,10.0,12.0,6.0,2.0,0.0,0.0,1.0,14.0,0.45454545454545453,0.0,0.5555555555555556,0.8333333333333334,0.455,0.0,0.556,0.833,30.966666666666665,1858.0,True,6.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,33.0,68.2,73.3,32.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,5.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,True,played,0.6818181818181818,0.7331378299120235,0.8181818181818182,0.5454545454545454,,Aric Holman,aric holman
2025-26,2,8,preseason,1496,2025-10-03,4,3,福爾摩沙夢想家,6,新北中信特攻,home,https://api.tpbl.basketball/api/games/1496/stats,79,張宗憲,166452,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,0.0,3.0,5.0,17.0,0.0,0.0,,,0.0,0.0,0.0,0.0,25.383333333333333,1523.0,False,1.0,1.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,-2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,True,played,0.0,0.0,0.0,0.0,1.6666666666666667,Chang Tsung-Hsien,chang tsung-hsien
2025-26,2,8,preseason,1496,2025-10-03,4,3,福爾摩沙夢想家,6,新北中信特攻,home,https://api.tpbl.basketball/api/games/1496/stats,83,吳家駿,166453,4.0,2.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-10.0,0.5,0.6666666666666666,0.0,,0.5,0.667,0.0,0.0,11.033333333333333,662.0,False,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,50.0,50.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,True,played,0.5,0.5,0.25,0.0,0.0,Wu Chia-Chun,wu chia-chun
2025-26,2,8,preseason,1496,2025-10-03,4,3,福爾摩沙夢想家,6,新北中信特攻,home,https://api.tpbl.basketball/api/games/1496/stats,86,林俊吉,166454,18.0,5.0,9.0,2.0,3.0,3.0,6.0,5.0,5.0,2.0,2.0,4.0,5.0,1.0,0.0,2.0,2.0,14.0,0.5555555555555556,0.6666666666666666,0.5,1.0,0.556,0.667,0.5,1.0,22.383333333333333,1343.0,False,4.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,22.0,72.2,80.4,20.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,W,True,played,0.7222222222222222,0.8035714285714286,0.6666666666666666,0.5555555555555556,2.5,Lin Chun-Chi,lin chun-chi
2025-26,2,8,preseason,1496,2025-10-03,4,3,福爾摩沙夢想家,6,新北中信特攻,home,https://api.tpbl.basketball/api/games/1496/stats,89,蔣淯安,166460,5.0,2.0,10.0,1.0,3.0,1.0,7.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,4.0,1.0,0.0,0.2,0.3333333333333333,0.14285714285714285,,0.2,0.33299999999999996,0.14300000000000002,0.0,19.1,1146.0,True,8.0,2.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-2.0,25.0,25.0,-3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,W,True,played,0.25,0.25,0.7,0.0,0.5,Chiang Yu-An,chiang yu-an
2025-26,2,8,preseason,1496,2025-10-03,4,3,福爾摩沙夢想家,6,新北中信特攻,home,https://api.tpbl.basketball/api/games/1496/stats,91,簡偉儒,166455,14.0,5.0,8.0,1.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,0.625,0.5,0.6666666666666666,,0.625,0.5,0.667,0.0,20.416666666666668,1225.0,False,3.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,12.0,87.5,87.5,11.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,True,played,0.875,0.875,0.75,0.0,,Chien Wei-Ju,chien wei-ju
2025-26,2,8,preseason,1496,2025-10-03,4,3,福爾摩沙夢想家,6,新北中信特攻,home,https://api.tpbl.basketball/api/games/1496/stats,99,盧冠良,166459,6.0,2.0,5.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-15.0,0.4,0.0,0.5,,0.4,0.0,0.5,0.0,22.616666666666667,1357.0,True,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,60.0,60.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,True,played,0.6,0.6,0.8,0.0,0.0,,盧冠良
