season,player_id,player_name_original,player_name_english,player_name_normalized,gohoops_player_id,position,height_cm,weight_kg,birthday,nationality,national_identity,metadata_source
2025-26,1,丁聖儒,Ting Sheng-Ju,ting sheng-ju,70386,PointGuard,174,75,1998-08-22,Local,Local,division_roster/profile
2025-26,10,雷蒙恩,Samuel Manu,samuel manu,70396,PointGuardAndShootingGuard,197,91,2000-09-24,Local,Local,division_roster/profile
2025-26,101,周柏臣,Chou Po-Chen,chou po-chen,70860,Center,198,98,1990-08-08,Local,Local,division_roster/profile
2025-26,103,忻沃克,Randall Walko,randall walko,70862,SmallForward,196,93,1998-09-21,Local,Local,division_roster/profile
2025-26,104,貝奇,Beau Beech,beau beech,70863,SmallForwardAndPowerForward,203,95,1994-03-01,Imported,Imported,division_roster/profile
2025-26,106,高柏鎧,Brandon Gilbeck,brandon gilbeck,70865,Center,213,107,1996-12-09,Imported,Imported,division_roster/profile
2025-26,107,霍爾曼,Aric Holman,aric holman,70866,PowerForward,208,100,1997-07-11,Imported,Imported,division_roster/profile
2025-26,108,魏莨哲,Wei Liang-Che,wei liang-che,70867,PointGuard,185,78,2001-11-28,Local,Local,division_roster/profile
2025-26,10860,麥卡洛,Chris McCullough,chris mccullough,91199,PowerForward,206,91,1995-02-05,Imported,Imported,division_roster/profile
2025-26,10861,迪亞洛,Cheick Diallo,cheick diallo,91203,PowerForward,203,99,1996-09-13,Imported,Imported,division_roster/profile
2025-26,10862,提傑,TJ Holyfield,tj holyfield,91258,SmallForwardAndPowerForward,203,100,1995-09-22,Imported,Imported,division_roster/profile
2025-26,10863,魏芃禾,Wei Peng-Ho,wei peng-ho,90967,PointGuard,177,72,2003-01-03,Local,Local,division_roster/profile
2025-26,10864,劉彥廷,Liu Yan-Ting,liu yan-ting,90970,PowerForward,196,96,2000-01-07,Local,Local,division_roster/profile
2025-26,10865,謝銘駿,Xie Ming-Jun,xie ming-jun,90975,PointGuardAndShootingGuard,190,85,2005-11-11,Local,Local,division_roster/profile
2025-26,10866,力獅,Isaiah Reese,isaiah reese,91259,PointGuardAndShootingGuard,196,84,1996-12-13,Imported,Imported,division_roster/profile
2025-26,10867,威力斯,Darral Willis,darral willis,91050,PowerForward,206,103,1996-01-21,Imported,Imported,division_roster/profile
2025-26,10868,齊曼加,Jordy Tshimanga,jordy tshimanga,91052,Center,211,122,1996-11-04,Imported,Imported,division_roster/profile
2025-26,10869,基德,Stanton Kidd,stanton kidd,91055,SmallForward,202,101,1992-03-18,Imported,Imported,division_roster/profile
2025-26,10870,洛夫頓,Zach Lofton,zach lofton,91056,ShootingGuard,193,82,1992-11-18,Imported,Imported,division_roster/profile
2025-26,10871,鍾理翔,Chung Li-Hsiang,chung li-hsiang,91062,SmallForward,194,92,2003-03-16,Local,Local,division_roster/profile
2025-26,10872,林彥廷,Lin Yan-Ting,lin yan-ting,91068,PointGuardAndShootingGuard,185,85,2000-10-22,Local,Local,division_roster/profile
2025-26,10873,喬納森,Jonathan Smith Matthew,jonathan smith matthew,91072,SmallForward,187,87,2003-05-09,Local,Local,division_roster/profile
2025-26,10874,熊祥泰,Hsiung Shiarng-Tai,hsiung shiarng-tai,91074,SmallForward,192,76,2003-04-14,Local,Local,division_roster/profile
2025-26,10875,傑登,Jayden Gardner,jayden gardner,91078,SmallForwardAndPowerForward,201,104,2000-05-14,Imported,Imported,division_roster/profile
2025-26,10876,尚迪,Chaundee Brown Jr.,chaundee brown jr.,91079,PointGuardAndShootingGuard,196,98,1998-12-04,Imported,Imported,division_roster/profile
2025-26,10877,阿巴西,Mohammed Al Bachir Gadiaga,mohammed al bachir gadiaga,91081,SmallForwardAndPowerForward,189,92,1998-04-27,Local,Local,division_roster/profile
2025-26,10878,曾信武,Tseng Hsin-Wu,tseng hsin-wu,91087,SmallForwardAndPowerForward,195,90,2003-03-22,Local,Local,division_roster/profile
2025-26,10879,簡廷兆,Chien Ting-Chao,chien ting-chao,91090,PointGuardAndShootingGuard,180,80,1998-01-16,Local,Local,division_roster/profile
2025-26,10880,內馬,Nemanja Radovic,nemanja radovic,91094,SmallForwardAndPowerForward,208,113,1991-11-11,Imported,Imported,division_roster/profile
2025-26,10881,飛克,Viktor Gaddefors,viktor gaddefors,91095,SmallForwardAndPowerForward,201,98,1992-10-08,Imported,Imported,division_roster/profile
2025-26,10882,霸夫,Pavlin Ivanov,pavlin ivanov,91096,PointGuardAndShootingGuard,196,90,1993-03-28,Imported,Imported,division_roster/profile
2025-26,10883,林安龍,Lum Walter Joseph Uriah,lum walter joseph uriah,91097,PointGuardAndShootingGuard,175,75,2000-02-24,Local,Local,division_roster/profile
2025-26,10884,徐宏瑋,Hsu Hong-Wei,hsu hong-wei,91186,PointGuard,173,77,2002-10-16,Local,Local,division_roster/profile
2025-26,10885,劉丞勳,,劉丞勳,91250,PointGuardAndShootingGuard,190,92,2003-04-10,,,division_roster/profile
2025-26,10886,梁瀚,Breuer Karl,breuer karl,91253,SmallForwardAndPowerForward,190,90,2000-04-19,Local,Local,division_roster/profile
2025-26,10887,德魯,Drew Pember,drew pember,91256,SmallForwardAndPowerForward,210,95,2000-06-14,Imported,Imported,division_roster/profile
2025-26,10888,帕塞獅,Anzejs Pasecniks,anzejs pasecniks,91257,Center,216,103,1995-12-20,Imported,Imported,division_roster/profile
2025-26,10889,恩尼斯,James Ennis III,james ennis iii,91283,SmallForward,198,105,1990-07-01,Imported,Imported,division_roster/profile
2025-26,10890,湯普金斯,Trey Thompkins III,trey thompkins iii,91284,PowerForward,208,105,1990-05-29,Imported,Imported,division_roster/profile
2025-26,10891,廖偉皓,Liao Wei-Hao,liao wei-hao,91340,SmallForward,190,95,2003-07-07,Local,Local,division_roster/profile
2025-26,10892,詹姆斯,Justin James,justin james,91345,SmallForward,201,82,1997-01-24,Imported,Imported,division_roster/profile
2025-26,10893,崔維斯,Reid Travis,reid travis,91347,Center,203,111,1995-11-25,Imported,Imported,division_roster/profile
2025-26,10894,凱帝,Cady Lalanne,cady lalanne,91348,Center,208,112,1992-04-22,Imported,Imported,division_roster/profile
2025-26,109,于煥亞,Yu Huan-Ya,yu huan-ya,70868,ShootingGuard,182,81,1993-11-30,Local,Local,division_roster/profile
2025-26,11,蘇奕晉,Su Yi-Chin,su yi-chin,70397,PowerForward,195,95,1993-12-29,Local,Local,division_roster/profile
2025-26,110,胡瓏貿,Hu Long-Mao,hu long-mao,70869,PowerForward,196,101,1992-12-22,Local,Local,division_roster/profile
2025-26,111,唐維傑,Tang Wei-Chieh,tang wei-chieh,70870,SmallForward,192,89,1999-09-25,Local,Local,division_roster/profile
2025-26,113,林任鴻,Lin Jen-Hung,lin jen-hung,70872,SmallForwardAndPowerForward,194,85,1993-12-18,Local,Local,division_roster/profile
2025-26,116,呂威霆,Lu Wei-Ting,lu wei-ting,70875,PowerForward,201,103,1997-04-16,Local,Local,division_roster/profile
2025-26,118,蘇文儒,Su Wen-Ju,su wen-ju,70877,ShootingGuard,187,78,1997-10-16,Local,Local,division_roster/profile
2025-26,119,余純安,Yu Chun-An,yu chun-an,70878,ShootingGuard,189,83,1992-02-13,Local,Local,division_roster/profile
2025-26,12,曹薰襄,Tsao Xun-Xiang,tsao xun-xiang,70398,PointGuard,183,80,1999-03-16,Local,Local,division_roster/profile
2025-26,121,吳曉謹,Wu Siao-Jin,wu siao-jin,70880,SmallForward,190,81,1995-08-28,Local,Local,division_roster/profile
