season,game_id,division_id,quarter,clock_remaining_ms,event_order,team_id,player_id,player_name_original,action,is_overtime,source_url
2025-26,1371,9,1,720000,1760173789444,7,10875,傑登,Entering,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,720000,1760173789444,7,10876,尚迪,Entering,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,720000,1760173789444,7,29,林書緯,Entering,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,720000,1760173789444,7,21,李愷諺,Entering,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,720000,1760173789445,7,25,林金榜,Entering,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,720000,1760173790433,2,10892,詹姆斯,Entering,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,720000,1760173790434,2,110,胡瓏貿,Entering,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,720000,1760173790434,2,10894,凱帝,Entering,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,720000,1760173790434,2,121,吳曉謹,Entering,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,720000,1760173790434,2,118,蘇文儒,Entering,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,493000,1760174214113,2,121,吳曉謹,Leaving,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,493000,1760174214134,2,109,于煥亞,Entering,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,493000,1760174215461,7,25,林金榜,Leaving,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,493000,1760174215484,7,24,蘇士軒,Entering,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,473000,1760174268623,7,10875,傑登,Leaving,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,473000,1760174268645,7,867,桑尼,Entering,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,449000,1760174359314,7,29,林書緯,Leaving,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,449000,1760174359335,7,10872,林彥廷,Entering,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,423000,1760174420509,7,10876,尚迪,Leaving,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,423000,1760174420532,7,10875,傑登,Entering,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,351000,1760174577578,7,24,蘇士軒,Leaving,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,351000,1760174577600,7,22,簡祐哲,Entering,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,351000,1760174578696,2,118,蘇文儒,Leaving,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,351000,1760174578718,2,121,吳曉謹,Entering,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,315000,1760174642656,2,10892,詹姆斯,Leaving,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,315000,1760174642678,2,110,胡瓏貿,Leaving,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,315000,1760174642687,2,122,陳懷安,Entering,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,315000,1760174642695,2,116,呂威霆,Entering,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,263000,1760174730448,7,21,李愷諺,Leaving,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,263000,1760174730472,7,29,林書緯,Entering,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,263000,1760174734898,2,10894,凱帝,Leaving,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,263000,1760174734921,2,123,勤明慶,Entering,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,243000,1760174819223,7,10872,林彥廷,Leaving,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,243000,1760174819246,7,19,蘇培凱,Entering,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,243000,1760174843988,7,867,桑尼,Leaving,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,243000,1760174844010,7,10876,尚迪,Entering,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,232000,1760174878851,2,109,于煥亞,Leaving,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,232000,1760174878874,2,10892,詹姆斯,Entering,False,https://api.tpbl.basketball/api/games/1371/broadcasts
2025-26,1371,9,1,199000,1760174961977,7,19,蘇培凱,Leaving,False,https://api.tpbl.basketball/api/games/1371/broadcasts
