season,season_id,division_id,competition_phase,game_id,game_date,periods,team_id,team,opponent_id,opponent,home_away,source_url,player_id,player_name_original,gohoops_roster_id,points,FGM,FGA,two_PM,two_PA,three_PM,three_PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,plus_minus,FG_pct,two_P_pct,three_P_pct,FT_pct,source_FG_pct,source_two_P_pct,source_three_P_pct,source_FT_pct,minutes,time_on_court_seconds,starter,source_field_goals_missed,source_two_pointers_missed,source_three_pointers_missed,source_free_throws_missed,source_defensive_fouls,source_offensive_fouls,source_personal_fouls,source_points_in_paint,source_second_chance_points,source_fast_break_points,source_efficiency,source_efg,source_tsp,source_pir,source_field_goals_made_in_the_paint,source_field_goals_missed_in_the_paint,source_field_goals_attempted_in_the_paint,source_field_goals_made_on_fast_break,source_field_goals_missed_on_fast_break,source_field_goals_attempted_on_fast_break,source_field_goals_made_on_second_chance,source_field_goals_missed_on_second_chance,source_field_goals_attempted_on_second_chance,source_technical_fouls,source_unsportsmanlike_fouls,source_disqualifying_fouls,source_bad_pass_turnovers,source_ball_handling_turnovers,source_out_of_bounds_turnovers,source_travel_turnovers,source_three_seconds_turnovers,source_five_seconds_turnovers,source_back_court_turnovers,source_offensive_goal_tending_turnovers,source_double_dribble_turnovers,source_carry_turnovers,source_offensive_foul_turnovers,source_other_turnovers,source_points_off_turnovers,source_two_pointers_jump_shot_made,source_two_pointers_jump_shot_missed,source_two_pointers_jump_shot_attempted,source_three_pointers_jump_shot_made,source_three_pointers_jump_shot_missed,source_three_pointers_jump_shot_attempted,source_two_pointers_layup_made,source_two_pointers_layup_missed,source_two_pointers_layup_attempted,source_two_pointers_driving_layup_made,source_two_pointers_driving_layup_missed,source_two_pointers_driving_layup_attempted,source_two_pointers_dunk_made,source_two_pointers_dunk_missed,source_two_pointers_dunk_attempted,source_two_pointers_putback_dunk_made,source_two_pointers_putback_dunk_missed,source_two_pointers_putback_dunk_attempted,source_two_pointers_putback_tip_in_made,source_two_pointers_putback_tip_in_missed,source_two_pointers_putback_tip_in_attempted,source_two_pointers_alley_oop_made,source_two_pointers_alley_oop_missed,source_two_pointers_alley_oop_attempted,source_two_pointers_hook_shot_made,source_two_pointers_hook_shot_missed,source_two_pointers_hook_shot_attempted,source_three_pointers_hook_shot_made,source_three_pointers_hook_shot_missed,source_three_pointers_hook_shot_attempted,source_two_pointers_floating_jump_shot_made,source_two_pointers_floating_jump_shot_missed,source_two_pointers_floating_jump_shot_attempted,source_three_pointers_floating_jump_shot_made,source_three_pointers_floating_jump_shot_missed,source_three_pointers_floating_jump_shot_attempted,source_two_pointers_fadeaway_jump_shot_made,source_two_pointers_fadeaway_jump_shot_missed,source_two_pointers_fadeaway_jump_shot_attempted,source_three_pointers_fadeaway_jump_shot_made,source_three_pointers_fadeaway_jump_shot_missed,source_three_pointers_fadeaway_jump_shot_attempted,source_two_pointers_turnaround_jump_shot_made,source_two_pointers_turnaround_jump_shot_missed,source_two_pointers_turnaround_jump_shot_attempted,source_three_pointers_turnaround_jump_shot_made,source_three_pointers_turnaround_jump_shot_missed,source_three_pointers_turnaround_jump_shot_attempted,source_two_pointers_step_back_jump_shot_made,source_two_pointers_step_back_jump_shot_missed,source_two_pointers_step_back_jump_shot_attempted,source_three_pointers_step_back_jump_shot_made,source_three_pointers_step_back_jump_shot_missed,source_three_pointers_step_back_jump_shot_attempted,source_two_pointers_pull_up_jump_shot_made,source_two_pointers_pull_up_jump_shot_missed,source_two_pointers_pull_up_jump_shot_attempted,source_three_pointers_pull_up_jump_shot_made,source_three_pointers_pull_up_jump_shot_missed,source_three_pointers_pull_up_jump_shot_attempted,result,appearance,participation_status,eFG_pct,TS_pct,three_PA_rate,FT_rate,AST_TOV,player_name_english,player_name_normalized
2025-26,2,8,preseason,1499,2025-10-04,4,5,桃園台啤永豐雲豹,6,新北中信特攻,away,https://api.tpbl.basketball/api/games/1499/stats,10860,麥卡洛,166315,23.0,6.0,14.0,6.0,11.0,0.0,3.0,11.0,11.0,0.0,7.0,7.0,0.0,2.0,1.0,1.0,1.0,2.0,0.42857142857142855,0.5454545454545454,0.0,1.0,0.429,0.545,0.0,1.0,30.966666666666665,1858.0,False,8.0,5.0,3.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,24.0,42.9,61.0,23.0,4.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,5.0,0.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,True,played,0.42857142857142855,0.6104033970276008,0.21428571428571427,0.7857142857142857,0.0,Chris McCullough,chris mccullough
2025-26,2,8,preseason,1499,2025-10-04,4,5,桃園台啤永豐雲豹,6,新北中信特攻,away,https://api.tpbl.basketball/api/games/1499/stats,10861,迪亞洛,166320,4.0,1.0,3.0,1.0,3.0,0.0,0.0,2.0,2.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,-22.0,0.3333333333333333,0.3333333333333333,,1.0,0.33299999999999996,0.33299999999999996,0.0,1.0,17.033333333333335,1022.0,True,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,33.3,51.5,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,True,played,0.3333333333333333,0.5154639175257733,0.0,0.6666666666666666,1.0,Cheick Diallo,cheick diallo
2025-26,2,8,preseason,1499,2025-10-04,4,5,桃園台啤永豐雲豹,6,新北中信特攻,away,https://api.tpbl.basketball/api/games/1499/stats,16,米勒,166317,9.0,4.0,11.0,4.0,5.0,0.0,6.0,1.0,3.0,3.0,7.0,10.0,0.0,2.0,1.0,1.0,2.0,10.0,0.36363636363636365,0.8,0.0,0.3333333333333333,0.364,0.8,0.0,0.33299999999999996,25.133333333333333,1508.0,False,7.0,1.0,6.0,2.0,2.0,0.0,1.0,8.0,0.0,2.0,12.0,36.4,36.5,10.0,4.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,6.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,True,played,0.36363636363636365,0.36525974025974023,0.5454545454545454,0.2727272727272727,0.0,Malcolm Miller,malcolm miller
2025-26,2,8,preseason,1499,2025-10-04,4,5,桃園台啤永豐雲豹,6,新北中信特攻,away,https://api.tpbl.basketball/api/games/1499/stats,68,克羅馬,166319,13.0,5.0,10.0,5.0,8.0,0.0,2.0,3.0,4.0,3.0,2.0,5.0,0.0,0.0,0.0,3.0,1.0,-30.0,0.5,0.625,0.0,0.75,0.5,0.625,0.0,0.75,22.866666666666667,1372.0,True,5.0,3.0,2.0,1.0,1.0,0.0,1.0,8.0,4.0,0.0,9.0,50.0,55.3,8.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,L,True,played,0.5,0.5527210884353742,0.2,0.4,0.0,Lasannah Kromah,lasannah kromah
2025-26,2,8,preseason,1502,2025-10-05,4,5,桃園台啤永豐雲豹,7,新北國王,home,https://api.tpbl.basketball/api/games/1502/stats,10860,麥卡洛,166315,18.0,7.0,16.0,6.0,14.0,1.0,2.0,3.0,5.0,4.0,8.0,12.0,2.0,0.0,1.0,2.0,4.0,-14.0,0.4375,0.42857142857142855,0.5,0.6,0.43799999999999994,0.429,0.5,0.6,28.066666666666666,1684.0,True,9.0,8.0,1.0,2.0,3.0,1.0,4.0,10.0,10.0,0.0,20.0,46.9,49.5,16.0,5.0,4.0,9.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,L,True,played,0.46875,0.4945054945054945,0.125,0.3125,1.0,Chris McCullough,chris mccullough
2025-26,2,8,preseason,1502,2025-10-05,4,5,桃園台啤永豐雲豹,7,新北國王,home,https://api.tpbl.basketball/api/games/1502/stats,10861,迪亞洛,166320,16.0,7.0,15.0,7.0,15.0,0.0,0.0,2.0,3.0,4.0,10.0,14.0,0.0,1.0,1.0,4.0,2.0,7.0,0.4666666666666667,0.4666666666666667,,0.6666666666666666,0.467,0.467,0.0,0.667,29.883333333333333,1793.0,False,8.0,8.0,0.0,1.0,2.0,0.0,2.0,14.0,4.0,2.0,19.0,46.7,49.0,17.0,7.0,7.0,14.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,6.0,11.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,True,played,0.4666666666666667,0.49019607843137253,0.0,0.2,0.0,Cheick Diallo,cheick diallo
2025-26,2,8,preseason,1502,2025-10-05,4,5,桃園台啤永豐雲豹,7,新北國王,home,https://api.tpbl.basketball/api/games/1502/stats,16,米勒,166317,15.0,7.0,12.0,7.0,10.0,0.0,2.0,1.0,2.0,4.0,8.0,12.0,0.0,1.0,2.0,2.0,3.0,-16.0,0.5833333333333334,0.7,0.0,0.5,0.583,0.7,0.0,0.5,34.016666666666666,2041.0,True,5.0,3.0,2.0,1.0,3.0,0.0,3.0,14.0,4.0,0.0,22.0,58.3,58.2,19.0,7.0,3.0,10.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,L,True,played,0.5833333333333334,0.5822981366459627,0.16666666666666666,0.16666666666666666,0.0,Malcolm Miller,malcolm miller
2025-26,2,8,preseason,1502,2025-10-05,4,5,桃園台啤永豐雲豹,7,新北國王,home,https://api.tpbl.basketball/api/games/1502/stats,68,克羅馬,166319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,no_stats_listed,,,,,,Lasannah Kromah,lasannah kromah
2025-26,2,9,regular_season,1375,2025-10-19,4,5,桃園台啤永豐雲豹,3,福爾摩沙夢想家,away,https://api.tpbl.basketball/api/games/1375/stats,10860,麥卡洛,166315,19.0,7.0,11.0,6.0,8.0,1.0,3.0,4.0,5.0,1.0,12.0,13.0,2.0,1.0,2.0,2.0,2.0,6.0,0.6363636363636364,0.75,0.3333333333333333,0.8,0.636,0.75,0.33299999999999996,0.8,31.966666666666665,1918.0,True,4.0,2.0,2.0,1.0,2.0,0.0,2.0,10.0,2.0,3.0,30.0,68.2,72.0,28.0,5.0,2.0,7.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,True,played,0.6818181818181818,0.7196969696969697,0.2727272727272727,0.45454545454545453,1.0,Chris McCullough,chris mccullough
2025-26,2,9,regular_season,1375,2025-10-19,4,5,桃園台啤永豐雲豹,3,福爾摩沙夢想家,away,https://api.tpbl.basketball/api/games/1375/stats,16,米勒,166317,15.0,7.0,11.0,6.0,9.0,1.0,2.0,0.0,0.0,1.0,4.0,5.0,2.0,3.0,2.0,0.0,3.0,32.0,0.6363636363636364,0.6666666666666666,0.5,,0.636,0.667,0.5,0.0,27.283333333333335,1637.0,False,4.0,3.0,1.0,0.0,3.0,0.0,3.0,12.0,0.0,6.0,23.0,68.2,68.2,20.0,6.0,2.0,8.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,True,played,0.6818181818181818,0.6818181818181818,0.18181818181818182,0.0,,Malcolm Miller,malcolm miller
