season,season_id,division_id,competition_phase,game_id,game_date,periods,team_id,team,opponent_id,opponent,home_away,source_url,FGM,FGA,two_PM,two_PA,three_PM,three_PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,FG_pct,two_P_pct,three_P_pct,FT_pct,source_FG_pct,source_two_P_pct,source_three_P_pct,source_FT_pct,team_points,opponent_points,source_field_goals_missed,source_two_pointers_missed,source_three_pointers_missed,source_free_throws_missed,source_defensive_fouls,source_offensive_fouls,source_personal_fouls,source_points_in_paint,source_second_chance_points,source_fast_break_points,win_loss,possessions_est,ORtg,opponent_possessions_est,DRtg,Net_Rating
2025-26,2,8,preseason,1496,2025-10-03,4,3,福爾摩沙夢想家,6,新北中信特攻,home,https://api.tpbl.basketball/api/games/1496/stats,39,82,18,35,21,47,12,16,16,31,47,20,6,3,15,19,0.47560975609756095,0.5142857142857142,0.44680851063829785,0.75,0.47600000000000003,0.514,0.447,0.75,111,109,43,17,26,4,18,1,18,28,16,10,W,88.04,126.07905497501135,89.36,121.97851387645478,4.100541098556562
2025-26,2,8,preseason,1496,2025-10-03,4,6,新北中信特攻,3,福爾摩沙夢想家,away,https://api.tpbl.basketball/api/games/1496/stats,39,78,20,36,19,42,12,19,12,30,42,27,6,1,15,22,0.5,0.5555555555555556,0.4523809523809524,0.631578947368421,0.5,0.556,0.452,0.632,109,111,39,16,23,7,20,2,22,34,13,6,L,89.36,121.97851387645478,88.04,126.07905497501135,-4.100541098556562
2025-26,2,8,preseason,1497,2025-10-03,4,2,高雄全家海神,4,新竹御嵿攻城獅,home,https://api.tpbl.basketball/api/games/1497/stats,26,72,13,34,13,38,23,30,20,32,52,17,7,1,27,29,0.3611111111111111,0.38235294117647056,0.34210526315789475,0.7666666666666667,0.361,0.382,0.342,0.767,88,98,46,21,25,7,27,2,29,20,12,7,L,92.2,95.44468546637744,89.16,109.91475998205473,-14.470074515677297
2025-26,2,8,preseason,1497,2025-10-03,4,4,新竹御嵿攻城獅,2,高雄全家海神,away,https://api.tpbl.basketball/api/games/1497/stats,34,75,23,44,11,31,19,39,18,30,48,22,16,2,15,26,0.4533333333333333,0.5227272727272727,0.3548387096774194,0.48717948717948717,0.45299999999999996,0.523,0.355,0.48700000000000004,98,88,41,21,20,20,25,1,26,40,22,15,W,89.16,109.91475998205473,92.2,95.44468546637744,14.470074515677297
2025-26,2,8,preseason,1498,2025-10-04,4,7,新北國王,8,臺北台新戰神,home,https://api.tpbl.basketball/api/games/1498/stats,41,103,33,60,8,43,10,14,29,36,65,17,11,2,18,20,0.39805825242718446,0.55,0.18604651162790697,0.7142857142857143,0.39799999999999996,0.55,0.18600000000000003,0.7140000000000001,100,105,62,27,35,4,19,1,19,56,27,23,L,98.16,101.87449062754686,98.0,107.14285714285714,-5.2683665153102766
2025-26,2,8,preseason,1498,2025-10-04,4,8,臺北台新戰神,7,新北國王,away,https://api.tpbl.basketball/api/games/1498/stats,41,85,32,56,9,29,14,25,14,31,45,17,12,4,16,18,0.4823529411764706,0.5714285714285714,0.3103448275862069,0.56,0.48200000000000004,0.5710000000000001,0.31,0.56,105,100,44,24,20,11,17,1,17,56,7,16,W,98.0,107.14285714285714,98.16,101.87449062754686,5.2683665153102766
2025-26,2,8,preseason,1499,2025-10-04,4,5,桃園台啤永豐雲豹,6,新北中信特攻,away,https://api.tpbl.basketball/api/games/1499/stats,28,73,25,42,3,31,22,29,13,29,42,11,10,3,20,15,0.3835616438356164,0.5952380952380952,0.0967741935483871,0.7586206896551724,0.384,0.595,0.09699999999999999,0.759,81,101,45,17,28,7,15,0,14,38,8,4,L,92.76,87.32212160413971,91.08,110.8915239350022,-23.569402330862488
2025-26,2,8,preseason,1499,2025-10-04,4,6,新北中信特攻,5,桃園台啤永豐雲豹,home,https://api.tpbl.basketball/api/games/1499/stats,41,75,28,45,13,30,6,7,7,31,38,19,14,2,20,28,0.5466666666666666,0.6222222222222222,0.43333333333333335,0.8571428571428571,0.547,0.622,0.433,0.857,101,81,34,17,17,1,25,3,27,52,9,12,W,91.08,110.8915239350022,92.76,87.32212160413971,23.569402330862488
2025-26,2,8,preseason,1500,2025-10-04,4,3,福爾摩沙夢想家,4,新竹御嵿攻城獅,away,https://api.tpbl.basketball/api/games/1500/stats,33,84,27,54,6,30,22,28,24,32,56,12,11,3,18,25,0.39285714285714285,0.5,0.2,0.7857142857142857,0.39299999999999996,0.5,0.2,0.7859999999999999,94,88,51,27,24,6,22,3,24,52,18,17,W,90.32,104.07440212577502,92.24,95.40329575021683,8.671106375558196
2025-26,2,8,preseason,1500,2025-10-04,4,4,新竹御嵿攻城獅,3,福爾摩沙夢想家,home,https://api.tpbl.basketball/api/games/1500/stats,33,77,24,45,9,32,13,21,14,31,45,17,8,5,20,28,0.42857142857142855,0.5333333333333333,0.28125,0.6190476190476191,0.429,0.5329999999999999,0.281,0.619,88,94,44,21,23,8,24,4,28,44,13,20,L,92.24,95.40329575021683,90.32,104.07440212577502,-8.671106375558196
