season,season_id,division_id,competition_phase,game_id,game_date,periods,team_id,team,opponent_id,opponent,home_away,source_url,field_goals_made,field_goals_missed,field_goals_attempted,field_goals,field_goals_percentage,two_pointers_made,two_pointers_missed,two_pointers_attempted,two_pointers,two_pointers_percentage,three_pointers_made,three_pointers_missed,three_pointers_attempted,three_pointers,three_pointers_percentage,free_throws_made,free_throws_missed,free_throws_attempted,free_throws,free_throws_percentage,won_score,total_won_score,lost_score,total_lost_score,rebounds,defensive_rebounds,offensive_rebounds,defensive_fouls,offensive_fouls,personal_fouls,fouls,assists,steals,blocks,turnovers,points_in_paint,second_chance_points,fast_break_points,source_json
2025-26,2,9,regular_season,1371,2025-10-11,4,7,新北國王,2,高雄全家海神,home,https://api.tpbl.basketball/api/games/1371/stats,40,58,98,40/98,40.8,31,30,61,31/61,50.8,9,28,37,9/37,24.3,21,12,33,21/33,63.6,110,110,100,100,64,36,28,29,2,31,31,21,9,5,16,54,19,7,"{""field_goals_made"":40,""field_goals_missed"":58,""field_goals_attempted"":98,""field_goals"":""40/98"",""field_goals_percentage"":""40.8"",""two_pointers_made"":31,""two_pointers_missed"":30,""two_pointers_attempted"":61,""two_pointers"":""31/61"",""two_pointers_percentage"":""50.8"",""three_pointers_made"":9,""three_pointers_missed"":28,""three_pointers_attempted"":37,""three_pointers"":""9/37"",""three_pointers_percentage"":""24.3"",""free_throws_made"":21,""free_throws_missed"":12,""free_throws_attempted"":33,""free_throws"":""21/33"",""free_throws_percentage"":""63.6"",""won_score"":110,""total_won_score"":110,""lost_score"":100,""total_lost_score"":100,""rebounds"":64,""defensive_rebounds"":36,""offensive_rebounds"":28,""defensive_fouls"":29,""offensive_fouls"":2,""personal_fouls"":31,""fouls"":31,""assists"":21,""steals"":9,""blocks"":5,""turnovers"":16,""points_in_paint"":54,""second_chance_points"":19,""fast_break_points"":7}"
2025-26,2,9,regular_season,1371,2025-10-11,4,2,高雄全家海神,7,新北國王,away,https://api.tpbl.basketball/api/games/1371/stats,35,43,78,35/78,44.9,26,18,44,26/44,59.1,9,25,34,9/34,26.5,21,16,37,21/37,56.8,100,100,110,110,51,37,14,23,4,25,27,18,10,5,19,50,15,12,"{""field_goals_made"":35,""field_goals_missed"":43,""field_goals_attempted"":78,""field_goals"":""35/78"",""field_goals_percentage"":""44.9"",""two_pointers_made"":26,""two_pointers_missed"":18,""two_pointers_attempted"":44,""two_pointers"":""26/44"",""two_pointers_percentage"":""59.1"",""three_pointers_made"":9,""three_pointers_missed"":25,""three_pointers_attempted"":34,""three_pointers"":""9/34"",""three_pointers_percentage"":""26.5"",""free_throws_made"":21,""free_throws_missed"":16,""free_throws_attempted"":37,""free_throws"":""21/37"",""free_throws_percentage"":""56.8"",""won_score"":100,""total_won_score"":100,""lost_score"":110,""total_lost_score"":110,""rebounds"":51,""defensive_rebounds"":37,""offensive_rebounds"":14,""defensive_fouls"":23,""offensive_fouls"":4,""personal_fouls"":25,""fouls"":27,""assists"":18,""steals"":10,""blocks"":5,""turnovers"":19,""points_in_paint"":50,""second_chance_points"":15,""fast_break_points"":12}"
2025-26,2,9,regular_season,1372,2025-10-12,4,7,新北國王,3,福爾摩沙夢想家,home,https://api.tpbl.basketball/api/games/1372/stats,47,38,85,47/85,55.3,34,16,50,34/50,68.0,13,22,35,13/35,37.1,5,5,10,5/10,50.0,112,112,93,93,38,31,7,22,3,23,25,26,15,3,18,54,14,16,"{""field_goals_made"":47,""field_goals_missed"":38,""field_goals_attempted"":85,""field_goals"":""47/85"",""field_goals_percentage"":""55.3"",""two_pointers_made"":34,""two_pointers_missed"":16,""two_pointers_attempted"":50,""two_pointers"":""34/50"",""two_pointers_percentage"":""68.0"",""three_pointers_made"":13,""three_pointers_missed"":22,""three_pointers_attempted"":35,""three_pointers"":""13/35"",""three_pointers_percentage"":""37.1"",""free_throws_made"":5,""free_throws_missed"":5,""free_throws_attempted"":10,""free_throws"":""5/10"",""free_throws_percentage"":""50.0"",""won_score"":112,""total_won_score"":112,""lost_score"":93,""total_lost_score"":93,""rebounds"":38,""defensive_rebounds"":31,""offensive_rebounds"":7,""defensive_fouls"":22,""offensive_fouls"":3,""personal_fouls"":23,""fouls"":25,""assists"":26,""steals"":15,""blocks"":3,""turnovers"":18,""points_in_paint"":54,""second_chance_points"":14,""fast_break_points"":16}"
2025-26,2,9,regular_season,1372,2025-10-12,4,3,福爾摩沙夢想家,7,新北國王,away,https://api.tpbl.basketball/api/games/1372/stats,30,40,70,30/70,42.9,21,18,39,21/39,53.8,9,22,31,9/31,29.0,24,4,28,24/28,85.7,93,93,112,112,40,30,10,11,3,12,14,15,10,3,28,40,9,10,"{""field_goals_made"":30,""field_goals_missed"":40,""field_goals_attempted"":70,""field_goals"":""30/70"",""field_goals_percentage"":""42.9"",""two_pointers_made"":21,""two_pointers_missed"":18,""two_pointers_attempted"":39,""two_pointers"":""21/39"",""two_pointers_percentage"":""53.8"",""three_pointers_made"":9,""three_pointers_missed"":22,""three_pointers_attempted"":31,""three_pointers"":""9/31"",""three_pointers_percentage"":""29.0"",""free_throws_made"":24,""free_throws_missed"":4,""free_throws_attempted"":28,""free_throws"":""24/28"",""free_throws_percentage"":""85.7"",""won_score"":93,""total_won_score"":93,""lost_score"":112,""total_lost_score"":112,""rebounds"":40,""defensive_rebounds"":30,""offensive_rebounds"":10,""defensive_fouls"":11,""offensive_fouls"":3,""personal_fouls"":12,""fouls"":14,""assists"":15,""steals"":10,""blocks"":3,""turnovers"":28,""points_in_paint"":40,""second_chance_points"":9,""fast_break_points"":10}"
2025-26,2,9,regular_season,1373,2025-10-18,4,3,福爾摩沙夢想家,2,高雄全家海神,home,https://api.tpbl.basketball/api/games/1373/stats,33,36,69,33/69,47.8,24,16,40,24/40,60.0,9,20,29,9/29,31.0,26,5,31,26/31,83.9,101,101,106,106,40,31,9,22,3,24,25,19,6,3,20,46,10,10,"{""field_goals_made"":33,""field_goals_missed"":36,""field_goals_attempted"":69,""field_goals"":""33/69"",""field_goals_percentage"":""47.8"",""two_pointers_made"":24,""two_pointers_missed"":16,""two_pointers_attempted"":40,""two_pointers"":""24/40"",""two_pointers_percentage"":""60.0"",""three_pointers_made"":9,""three_pointers_missed"":20,""three_pointers_attempted"":29,""three_pointers"":""9/29"",""three_pointers_percentage"":""31.0"",""free_throws_made"":26,""free_throws_missed"":5,""free_throws_attempted"":31,""free_throws"":""26/31"",""free_throws_percentage"":""83.9"",""won_score"":101,""total_won_score"":101,""lost_score"":106,""total_lost_score"":106,""rebounds"":40,""defensive_rebounds"":31,""offensive_rebounds"":9,""defensive_fouls"":22,""offensive_fouls"":3,""personal_fouls"":24,""fouls"":25,""assists"":19,""steals"":6,""blocks"":3,""turnovers"":20,""points_in_paint"":46,""second_chance_points"":10,""fast_break_points"":10}"
2025-26,2,9,regular_season,1373,2025-10-18,4,2,高雄全家海神,3,福爾摩沙夢想家,away,https://api.tpbl.basketball/api/games/1373/stats,35,40,75,35/75,46.7,21,14,35,21/35,60.0,14,26,40,14/40,35.0,22,4,26,22/26,84.6,106,106,101,101,37,27,10,21,5,24,26,21,11,4,17,32,5,9,"{""field_goals_made"":35,""field_goals_missed"":40,""field_goals_attempted"":75,""field_goals"":""35/75"",""field_goals_percentage"":""46.7"",""two_pointers_made"":21,""two_pointers_missed"":14,""two_pointers_attempted"":35,""two_pointers"":""21/35"",""two_pointers_percentage"":""60.0"",""three_pointers_made"":14,""three_pointers_missed"":26,""three_pointers_attempted"":40,""three_pointers"":""14/40"",""three_pointers_percentage"":""35.0"",""free_throws_made"":22,""free_throws_missed"":4,""free_throws_attempted"":26,""free_throws"":""22/26"",""free_throws_percentage"":""84.6"",""won_score"":106,""total_won_score"":106,""lost_score"":101,""total_lost_score"":101,""rebounds"":37,""defensive_rebounds"":27,""offensive_rebounds"":10,""defensive_fouls"":21,""offensive_fouls"":5,""personal_fouls"":24,""fouls"":26,""assists"":21,""steals"":11,""blocks"":4,""turnovers"":17,""points_in_paint"":32,""second_chance_points"":5,""fast_break_points"":9}"
2025-26,2,9,regular_season,1374,2025-10-18,4,7,新北國王,6,新北中信特攻,home,https://api.tpbl.basketball/api/games/1374/stats,33,45,78,33/78,42.3,26,17,43,26/43,60.5,7,28,35,7/35,20.0,16,8,24,16/24,66.7,89,89,105,105,47,31,16,19,0,19,19,14,5,3,17,34,18,4,"{""field_goals_made"":33,""field_goals_missed"":45,""field_goals_attempted"":78,""field_goals"":""33/78"",""field_goals_percentage"":""42.3"",""two_pointers_made"":26,""two_pointers_missed"":17,""two_pointers_attempted"":43,""two_pointers"":""26/43"",""two_pointers_percentage"":""60.5"",""three_pointers_made"":7,""three_pointers_missed"":28,""three_pointers_attempted"":35,""three_pointers"":""7/35"",""three_pointers_percentage"":""20.0"",""free_throws_made"":16,""free_throws_missed"":8,""free_throws_attempted"":24,""free_throws"":""16/24"",""free_throws_percentage"":""66.7"",""won_score"":89,""total_won_score"":89,""lost_score"":105,""total_lost_score"":105,""rebounds"":47,""defensive_rebounds"":31,""offensive_rebounds"":16,""defensive_fouls"":19,""offensive_fouls"":0,""personal_fouls"":19,""fouls"":19,""assists"":14,""steals"":5,""blocks"":3,""turnovers"":17,""points_in_paint"":34,""second_chance_points"":18,""fast_break_points"":4}"
2025-26,2,9,regular_season,1374,2025-10-18,4,6,新北中信特攻,7,新北國王,away,https://api.tpbl.basketball/api/games/1374/stats,40,50,90,40/90,44.4,29,26,55,29/55,52.7,11,24,35,11/35,31.4,14,3,17,14/17,82.4,105,105,89,89,52,34,18,25,2,27,27,26,10,2,10,50,18,23,"{""field_goals_made"":40,""field_goals_missed"":50,""field_goals_attempted"":90,""field_goals"":""40/90"",""field_goals_percentage"":""44.4"",""two_pointers_made"":29,""two_pointers_missed"":26,""two_pointers_attempted"":55,""two_pointers"":""29/55"",""two_pointers_percentage"":""52.7"",""three_pointers_made"":11,""three_pointers_missed"":24,""three_pointers_attempted"":35,""three_pointers"":""11/35"",""three_pointers_percentage"":""31.4"",""free_throws_made"":14,""free_throws_missed"":3,""free_throws_attempted"":17,""free_throws"":""14/17"",""free_throws_percentage"":""82.4"",""won_score"":105,""total_won_score"":105,""lost_score"":89,""total_lost_score"":89,""rebounds"":52,""defensive_rebounds"":34,""offensive_rebounds"":18,""defensive_fouls"":25,""offensive_fouls"":2,""personal_fouls"":27,""fouls"":27,""assists"":26,""steals"":10,""blocks"":2,""turnovers"":10,""points_in_paint"":50,""second_chance_points"":18,""fast_break_points"":23}"
2025-26,2,9,regular_season,1375,2025-10-19,4,3,福爾摩沙夢想家,5,桃園台啤永豐雲豹,home,https://api.tpbl.basketball/api/games/1375/stats,30,59,89,30/89,33.7,21,29,50,21/50,42.0,9,30,39,9/39,23.1,14,6,20,14/20,70.0,83,83,104,104,49,33,16,23,0,23,23,17,9,4,15,42,9,10,"{""field_goals_made"":30,""field_goals_missed"":59,""field_goals_attempted"":89,""field_goals"":""30/89"",""field_goals_percentage"":""33.7"",""two_pointers_made"":21,""two_pointers_missed"":29,""two_pointers_attempted"":50,""two_pointers"":""21/50"",""two_pointers_percentage"":""42.0"",""three_pointers_made"":9,""three_pointers_missed"":30,""three_pointers_attempted"":39,""three_pointers"":""9/39"",""three_pointers_percentage"":""23.1"",""free_throws_made"":14,""free_throws_missed"":6,""free_throws_attempted"":20,""free_throws"":""14/20"",""free_throws_percentage"":""70.0"",""won_score"":83,""total_won_score"":83,""lost_score"":104,""total_lost_score"":104,""rebounds"":49,""defensive_rebounds"":33,""offensive_rebounds"":16,""defensive_fouls"":23,""offensive_fouls"":0,""personal_fouls"":23,""fouls"":23,""assists"":17,""steals"":9,""blocks"":4,""turnovers"":15,""points_in_paint"":42,""second_chance_points"":9,""fast_break_points"":10}"
2025-26,2,9,regular_season,1375,2025-10-19,4,5,桃園台啤永豐雲豹,3,福爾摩沙夢想家,away,https://api.tpbl.basketball/api/games/1375/stats,38,38,76,38/76,50.0,29,21,50,29/50,58.0,9,17,26,9/26,34.6,19,4,23,19/23,82.6,104,104,83,83,50,44,6,17,0,17,17,27,9,7,17,56,2,25,"{""field_goals_made"":38,""field_goals_missed"":38,""field_goals_attempted"":76,""field_goals"":""38/76"",""field_goals_percentage"":""50.0"",""two_pointers_made"":29,""two_pointers_missed"":21,""two_pointers_attempted"":50,""two_pointers"":""29/50"",""two_pointers_percentage"":""58.0"",""three_pointers_made"":9,""three_pointers_missed"":17,""three_pointers_attempted"":26,""three_pointers"":""9/26"",""three_pointers_percentage"":""34.6"",""free_throws_made"":19,""free_throws_missed"":4,""free_throws_attempted"":23,""free_throws"":""19/23"",""free_throws_percentage"":""82.6"",""won_score"":104,""total_won_score"":104,""lost_score"":83,""total_lost_score"":83,""rebounds"":50,""defensive_rebounds"":44,""offensive_rebounds"":6,""defensive_fouls"":17,""offensive_fouls"":0,""personal_fouls"":17,""fouls"":17,""assists"":27,""steals"":9,""blocks"":7,""turnovers"":17,""points_in_paint"":56,""second_chance_points"":2,""fast_break_points"":25}"
