player,game,variable,source_value,collected_value,result,notes
McCullough,1493,minutes_display,34:16,34:16,PASS,Rendered https://t-leopards.com/team/10860; regular season; reviewed 2026-09-14
McCullough,1493,points,21,21.0,PASS,Rendered https://t-leopards.com/team/10860; regular season; reviewed 2026-09-14
McCullough,1493,FGA,15,15.0,PASS,Rendered https://t-leopards.com/team/10860; regular season; reviewed 2026-09-14
McCullough,1493,REB,18,18.0,PASS,Rendered https://t-leopards.com/team/10860; regular season; reviewed 2026-09-14
McCullough,1493,AST,3,3.0,PASS,Rendered https://t-leopards.com/team/10860; regular season; reviewed 2026-09-14
McCullough,1493,plus_minus,9,9.0,PASS,Rendered https://t-leopards.com/team/10860; regular season; reviewed 2026-09-14
McCullough,1503,minutes_display,25:33,25:33,PASS,Rendered https://t-leopards.com/team/10860; regular season; reviewed 2026-09-14
McCullough,1503,points,12,12.0,PASS,Rendered https://t-leopards.com/team/10860; regular season; reviewed 2026-09-14
McCullough,1503,FGA,12,12.0,PASS,Rendered https://t-leopards.com/team/10860; regular season; reviewed 2026-09-14
McCullough,1503,REB,11,11.0,PASS,Rendered https://t-leopards.com/team/10860; regular season; reviewed 2026-09-14
McCullough,1503,AST,1,1.0,PASS,Rendered https://t-leopards.com/team/10860; regular season; reviewed 2026-09-14
McCullough,1503,plus_minus,1,1.0,PASS,Rendered https://t-leopards.com/team/10860; regular season; reviewed 2026-09-14
McCullough,1480,minutes_display,21:50,21:50,PASS,Rendered https://t-leopards.com/team/10860; regular season; reviewed 2026-09-14
McCullough,1480,points,15,15.0,PASS,Rendered https://t-leopards.com/team/10860; regular season; reviewed 2026-09-14
McCullough,1480,FGA,17,17.0,PASS,Rendered https://t-leopards.com/team/10860; regular season; reviewed 2026-09-14
McCullough,1480,REB,18,18.0,PASS,Rendered https://t-leopards.com/team/10860; regular season; reviewed 2026-09-14
McCullough,1480,AST,0,0.0,PASS,Rendered https://t-leopards.com/team/10860; regular season; reviewed 2026-09-14
McCullough,1480,plus_minus,-3,-3.0,PASS,Rendered https://t-leopards.com/team/10860; regular season; reviewed 2026-09-14
McCullough,1477,minutes_display,30:02,30:02,PASS,Rendered https://t-leopards.com/team/10860; regular season; reviewed 2026-09-14
McCullough,1477,points,22,22.0,PASS,Rendered https://t-leopards.com/team/10860; regular season; reviewed 2026-09-14
McCullough,1477,FGA,16,16.0,PASS,Rendered https://t-leopards.com/team/10860; regular season; reviewed 2026-09-14
McCullough,1477,REB,10,10.0,PASS,Rendered https://t-leopards.com/team/10860; regular season; reviewed 2026-09-14
McCullough,1477,AST,1,1.0,PASS,Rendered https://t-leopards.com/team/10860; regular season; reviewed 2026-09-14
McCullough,1477,plus_minus,18,18.0,PASS,Rendered https://t-leopards.com/team/10860; regular season; reviewed 2026-09-14
