game_id,team_id,OREB,DREB,REB,TOV,PF,time_on_court_seconds,plus_minus,OREB_team,DREB_team,REB_team,TOV_team,PF_team,team_points,opponent_points,periods,plus_minus_residual,minutes_residual_seconds,OREB_team_credit_difference,DREB_team_credit_difference,REB_team_credit_difference,TOV_team_credit_difference,PF_team_credit_difference
1371,2,9.0,37.0,46.0,19.0,27.0,14400.0,-50.0,14,37,51,19,27,100,110,4,0.0,0.0,5.0,0.0,5.0,0.0,0.0
1371,7,23.0,32.0,55.0,16.0,31.0,14400.0,50.0,28,36,64,16,31,110,100,4,0.0,0.0,5.0,4.0,9.0,0.0,0.0
1372,3,9.0,30.0,39.0,25.0,14.0,14400.0,-95.0,10,30,40,28,14,93,112,4,0.0,0.0,1.0,0.0,1.0,3.0,0.0
1372,7,4.0,31.0,35.0,17.0,25.0,14400.0,95.0,7,31,38,18,25,112,93,4,0.0,0.0,3.0,0.0,3.0,1.0,0.0
1373,2,10.0,26.0,36.0,16.0,26.0,14400.0,25.0,10,27,37,17,26,106,101,4,0.0,0.0,0.0,1.0,1.0,1.0,0.0
1373,3,6.0,29.0,35.0,19.0,25.0,14400.0,-25.0,9,31,40,20,25,101,106,4,0.0,0.0,3.0,2.0,5.0,1.0,0.0
1374,6,14.0,33.0,47.0,9.0,27.0,14400.0,80.0,18,34,52,10,27,105,89,4,0.0,0.0,4.0,1.0,5.0,1.0,0.0
1374,7,14.0,29.0,43.0,17.0,19.0,14400.0,-80.0,16,31,47,17,19,89,105,4,0.0,0.0,2.0,2.0,4.0,0.0,0.0
1375,3,12.0,32.0,44.0,15.0,23.0,14400.0,-105.0,16,33,49,15,23,83,104,4,0.0,0.0,4.0,1.0,5.0,0.0,0.0
1375,5,5.0,37.0,42.0,14.0,17.0,14400.0,105.0,6,44,50,17,17,104,83,4,0.0,0.0,1.0,7.0,8.0,3.0,0.0
1376,7,19.0,25.0,44.0,17.0,23.0,15900.0,-15.0,21,25,46,19,23,120,123,5,0.0,0.0,2.0,0.0,2.0,2.0,0.0
1376,8,16.0,23.0,39.0,18.0,28.0,15900.0,15.0,18,26,44,19,28,123,120,5,0.0,0.0,2.0,3.0,5.0,1.0,0.0
1377,2,13.0,32.0,45.0,22.0,24.0,14400.0,60.0,15,38,53,22,24,91,79,4,0.0,0.0,2.0,6.0,8.0,0.0,0.0
1377,7,15.0,27.0,42.0,17.0,24.0,14400.0,-60.0,17,30,47,17,24,79,91,4,0.0,0.0,2.0,3.0,5.0,0.0,0.0
1378,6,7.0,37.0,44.0,17.0,24.0,14400.0,65.0,10,39,49,18,24,91,78,4,0.0,0.0,3.0,2.0,5.0,1.0,0.0
1378,8,15.0,35.0,50.0,26.0,25.0,14400.0,-65.0,19,38,57,27,25,78,91,4,0.0,0.0,4.0,3.0,7.0,1.0,0.0
1379,2,13.0,28.0,41.0,11.0,21.0,14400.0,-95.0,15,28,43,12,21,82,101,4,0.0,0.0,2.0,0.0,2.0,1.0,0.0
1379,4,13.0,36.0,49.0,13.0,21.0,14400.0,95.0,14,42,56,14,21,101,82,4,0.0,0.0,1.0,6.0,7.0,1.0,0.0
1380,5,6.0,29.0,35.0,16.0,21.0,14400.0,120.0,8,31,39,17,21,104,80,4,0.0,0.0,2.0,2.0,4.0,1.0,0.0
1380,6,14.0,26.0,40.0,25.0,19.0,14400.0,-120.0,16,28,44,25,19,80,104,4,0.0,0.0,2.0,2.0,4.0,0.0,0.0
1381,2,7.0,25.0,32.0,19.0,30.0,14400.0,-65.0,9,27,36,19,30,86,99,4,0.0,0.0,2.0,2.0,4.0,0.0,0.0
1381,3,7.0,38.0,45.0,18.0,25.0,14400.0,65.0,9,38,47,20,25,99,86,4,0.0,0.0,2.0,0.0,2.0,2.0,0.0
1382,2,10.0,25.0,35.0,17.0,21.0,14400.0,-25.0,12,30,42,19,21,105,110,4,0.0,0.0,2.0,5.0,7.0,2.0,0.0
1382,8,16.0,28.0,44.0,13.0,23.0,14400.0,25.0,20,30,50,13,23,110,105,4,0.0,0.0,4.0,2.0,6.0,0.0,0.0
1383,3,12.0,35.0,47.0,20.0,27.0,14248.0,-40.0,14,38,52,21,27,91,99,4,0.0,-152.0,2.0,3.0,5.0,1.0,0.0
1383,6,9.0,32.0,41.0,10.0,24.0,14400.0,40.0,13,34,47,11,24,99,91,4,0.0,0.0,4.0,2.0,6.0,1.0,0.0
1384,2,12.0,24.0,36.0,16.0,24.0,14400.0,-110.0,14,25,39,18,24,78,100,4,0.0,0.0,2.0,1.0,3.0,2.0,0.0
1384,5,7.0,39.0,46.0,16.0,21.0,14400.0,110.0,9,40,49,17,21,100,78,4,0.0,0.0,2.0,1.0,3.0,1.0,0.0
1385,4,13.0,24.0,37.0,21.0,16.0,14400.0,-15.0,15,27,42,21,16,91,94,4,0.0,0.0,2.0,3.0,5.0,0.0,0.0
1385,6,19.0,20.0,39.0,17.0,18.0,14400.0,15.0,20,23,43,17,18,94,91,4,0.0,0.0,1.0,3.0,4.0,0.0,0.0
1386,3,11.0,35.0,46.0,12.0,17.0,14400.0,5.0,11,36,47,12,17,82,81,4,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1386,4,14.0,42.0,56.0,15.0,21.0,14400.0,-5.0,16,43,59,16,21,81,82,4,0.0,0.0,2.0,1.0,3.0,1.0,0.0
1387,3,11.0,40.0,51.0,20.0,18.0,14400.0,25.0,13,42,55,20,18,92,87,4,0.0,0.0,2.0,2.0,4.0,0.0,0.0
1387,6,13.0,31.0,44.0,13.0,20.0,14400.0,-25.0,17,31,48,13,20,87,92,4,0.0,0.0,4.0,0.0,4.0,0.0,0.0
1388,4,11.0,29.0,40.0,13.0,25.0,14400.0,95.0,15,33,48,16,25,108,89,4,0.0,0.0,4.0,4.0,8.0,3.0,0.0
